Host,CLAV.BUMP.MUSCLE,CLAV.MAR.MUSCLE,CLAV.MAR.ANAL,CLAV.MAR.CAUDAL,CLAV.MAR.DORSAL,CLAV.MAR.BODY,CLAV.MAR.BUCCAL,CLAV.MAR.GONAD,CLAV.MAR.EYE,CLAV.MAR.GILL,CLAV.MAR.LIVER,CLAV.MAR.KIDNEY,CLAV.MAR.STOMACH,NEM.G.LIVER,NEM.G.STOMACH,NEM.G.INT,NEM.G.FLUSH,NEM.H.STOMACH,NEM.H.INT,NEM.H.GILL,NEM.H.FLUSH,NEM.H.GONAD,NEM.H.LIVER,NEM.I.LIVER,NEM.I.INT,NEM.J.STOMACH,NEM.J.INT,NEM.J.FLUSH,NEM.K.STOMACH,NEM.K.GONAD,NEM.L1.STOMACH,NEM.L1.INT,NEM.M.STOMACH,NEM.LARV.LIVER,NEM.ANIS.INT,NEM.LARV.STOMACH,NEM.LARV.INT,NEM.UNID.GONAD,NEM.UNID.LIVER,NEM.UNID.INT,NEM.UNID.FLUSH,LEECH.A.BUCCAL,LEECH.A.GILL,LEECH.A.FLUSH,CYST.A.GILL,CYST.N1.MUSCLE,CYST.N1.ANAL,CYST.N1.BUCCAL,CYST.N1.DORSAL,CYST.O.PECTORAL,CYST.O.PELVIC,CYST.O.ANAL,CYST.O.CAUDAL,CYST.O.DORSAL,CYST.NEM.GONAD,CYST.NEM.STOMACH,CYST.NEM.INT,CYST.UNID.ANAL,CYST.UNID.INT,TREM.H.GILL,TREM.H.STOMACH,TREM.H.INT,TREM.I.FLUSH,TREM.J.INT,COPE.C.SKIN,COPE.D.BUCCAL,COPE.D.GILL,ACANTH.Z.LIVER
170,1,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,3,,,,,2,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,380,,153,,,,,,,,,,,,,,
172,19,,,,,2,,,,,,,,,,55,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,266,,14,,12,3,,,,,,,,,,,
173,42,,2,,3,12,,,,,,,,,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,6,,,,1,3,,1,,,,,,,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,12,2,,,,,,,,,,,
176,6,,1,1,,1,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,
177,7,,,,1,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,45,,,,,,,,,,,,,,
178,,6,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
179,16,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
