Host,NEM.UNID.BODY,NEM.UNID.GONAD,NEM.UNID.GILL,NEM.LA.BODY,NEM.LA.LIVER,NEM.LA.INT,NEM.LA.PY,NEM.LB.GONAD,NEM.LB.BODY,NEM.LB.PY,NEM.LB.STOMACH,NEM.LB.INT,NEM.LB.LIVER,NEM.LB.KIDNEY,NEM.LB.HEART,NEM.LB.FLUSH,NEM.B.INT,NEM.B.STOM,NEM.C.PY,NEM.C.INT,NEM.C.STOM,NEM.F.INT,NEM.F.PY,CEST.B.INT,CEST.B.STOMACH,CEST.B.PY,TREM.F.INT,TREM.F.PY,TREM.F.STOMACH,TREM.G.INT,TREM.G.PY,TREM.G.STOM,TREM.UNID.STOM,CYST.A.GILL,CYST.E.DORSAL,CYST.H.MUSCLE,CYST.I.MUSCLE,CYST.J.GILL,ACANTH.B.PY
84,1,,,,,,,2,1,17,2,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,
85,,,,,,,,,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,1,,2,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,
87,,1,,,,,,1,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
88,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,4,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
92,,,,,,,,1,,4,,,,1,,,,,,,,,,,,,3,,,1,,,,,,,,,
93,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,
94,,,,,,,,1,1,2,,,2,,,,,,,,,,,,,,2,,,4,,,,,,,,,
95,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
96,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
97,,,,,,,,2,,,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
98,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,2,,3,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
101,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,1,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,91,28,,
105,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
106,,,,,,,,1,1,,,,2,,1,,,,,,,,,,,,,1,,1,7,,,,,,,,
107,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
108,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,1,,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,1,,,,,3,,,1,,,,,,,,,,,1,,,,,,,2,,,,4,,,,
154,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,2,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,
163,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
165,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
167,,,,,,,,6,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,2,4,,,1,,1,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,1,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,4,,1,1,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,3,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
294,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
