Host,Species,Treatment,Dissector,Length,Location,Sex,Dissection Date,Notes
1,Gadus chalcogrammus,Fresh,EAF,118,A,NA,5/5/2018,Lateral slice
2,Gadus chalcogrammus,Fresh,EAF,106,A,NA,5/6/2018,"No Host Picture, Lateral slice"
3,Gadus chalcogrammus,Fresh,EAF,102,A,NA,5/6/2018,Lateral Slice
4,Gadus chalcogrammus,Fresh,EAF,116,A,NA,5/6/2018,Lateral Slice
5,Gadus chalcogrammus,Preserved,EAF,122,A,NA,5/20/2018,Lateral slice
6,Gadus chalcogrammus,Preserved,EAF,113,A,NA,5/20/2018,Lateral slice
7,Gadus chalcogrammus,Preserved,EAF,103,A,NA,5/20/2018,Lateral slice
8,Gadus chalcogrammus,Fresh,EAF,170,B,NA,26-May,
9,Gadus chalcogrammus,Fresh,EAF,175,B,NA,,
10,Gadus chalcogrammus,Fresh,EAF,186,B,NA,,
11,Gadus chalcogrammus,Fresh,EAF,183,B,NA,,
12,Gadus chalcogrammus,Fresh,EAF,185,B,NA,,
13,Gadus chalcogrammus,Fresh,EAF,173,B,NA,,
14,Gadus chalcogrammus,Fresh,EAF,169,B,NA,,
15,Gadus chalcogrammus,Fresh,EAF,174,B,NA,,
16,Gadus chalcogrammus,Fresh,EAF,176,B,NA,,
17,Gadus chalcogrammus,Fresh,EAF,172,B,NA,,
18,Gadus chalcogrammus,Fresh,EAF,171,B,NA,,
33,Gadus chalcogrammus,Preserved,EAF,186,B,,,
34,Gadus chalcogrammus,Preserved,EAF,167,B,,,
35,Gadus chalcogrammus,Preserved,EAF,173,B,,,
36,Gadus chalcogrammus,Preserved,EAF,176,B,,,
37,Gadus chalcogrammus,Preserved,EAF,180,B,,,
38,Gadus chalcogrammus,Preserved,EAF,181,B,,,
39,Gadus chalcogrammus,Preserved,EAF,170,B,,,
40,Gadus chalcogrammus,Preserved,EAF,172,B,,,
41,Gadus chalcogrammus,Preserved,EAF,172,B,,,
42,Gadus chalcogrammus,Preserved,EAF,170,B,,,
43,Gadus chalcogrammus,Preserved,EAF,174,B,,,
44,Gadus chalcogrammus,Fresh,EAF,174,D,,,
45,Gadus chalcogrammus,Fresh,EAF,173,D,,,
46,Gadus chalcogrammus,Fresh,EAF,177,D,,,
47,Gadus chalcogrammus,Fresh,EAF,193,D,,,
48,Gadus chalcogrammus,Fresh,EAF,204,D,,,
49,Gadus chalcogrammus,Fresh,EAF,171,D,,,
50,Gadus chalcogrammus,Fresh,EAF,195,D,,,
51,Gadus chalcogrammus,Fresh,EAF,176,D,,,
52,Gadus chalcogrammus,Fresh,EAF,204,D,,,
53,Gadus chalcogrammus,Fresh,EAF,163,D,,,
54,Gadus chalcogrammus,Fresh,EAF,189,D,,,
55,Gadus chalcogrammus,Fresh,EAF,189,D,,,
56,Gadus chalcogrammus,Fresh,EAF,202,D,,,
57,Gadus chalcogrammus,Fresh,EAF,170,D,,,
58,Gadus chalcogrammus,Fresh,EAF,183,D,,,
59,Gadus chalcogrammus,Fresh,EAF,160,D,,,
60,Gadus chalcogrammus,Fresh,EAF,185,D,,,
61,Gadus chalcogrammus,Fresh,EAF,87,E,,,
62,Gadus chalcogrammus,Fresh,EAF,112,E,,,
63,Gadus chalcogrammus,Fresh,EAF,110,E,,,
64,Gadus chalcogrammus,Fresh,EAF,109,E,,,
65,Gadus chalcogrammus,Fresh,EAF,99,E,,,
66,Gadus chalcogrammus,Fresh,EAF,98,E,,,
67,Gadus chalcogrammus,Fresh,EAF,94,E,,,
68,Gadus chalcogrammus,Fresh,EAF,119,E,,,
69,Gadus chalcogrammus,Fresh,EAF,133,E,,,
70,Gadus chalcogrammus,Fresh,EAF,113,E,,,
71,Gadus chalcogrammus,Fresh,EAF,114,E,,,
72,Gadus chalcogrammus,Fresh,EAF,106,E,,,
73,Gadus chalcogrammus,Fresh,EAF,96,E,,,
74,Gadus chalcogrammus,Fresh,EAF,144,E,,,
75,Gadus chalcogrammus,Fresh,EAF,102,E,,,
76,Gadus chalcogrammus,Fresh,EAF,122,E,,,
77,Gadus chalcogrammus,Fresh,EAF,113,E,,,
78,Gadus chalcogrammus,Fresh,EAF,137,E,,,
79,Gadus chalcogrammus,Fresh,EAF,126,E,,,
80,Gadus chalcogrammus,Fresh,EAF,128,E,,,
81,Gadus chalcogrammus,Fresh,EAF,127,E,,,
82,Gadus chalcogrammus,Fresh,EAF,124,E,,,
83,Gadus chalcogrammus,Fresh,EAF,123,E,,,
84,Thaleichthys pacificus,Fresh,EAF,197,F,,,
85,Thaleichthys pacificus,Fresh,EAF,190,F,,,
